ASV_ID	P29264_2001	P29264_2002	P29264_2003	P29264_2004	P29264_2005	P29264_2006	P29264_2007	P29264_2008	P29264_2009
450ac381cbb4a6822befbcdb2ca20bae	4634	3264	7632	3128	7328	2462	13022	2634	3837
ac4107604c179f2f8414333885255725	101	233	1839	46	69	45	372	115	1632
1ead98754d34073a4606f7ff1e94126e	273	428	517	430	696	278	2983	1597	1133
1b2c41577c16f4c672a2a861e6b89b14	1616	4002	2085	1117	985	325	1243	1697	1096
1c23ac205f0f18ad1dded5f93cd5edce	6585	6339	8171	4507	3454	1072	874	1226	876
dd69e0b17da6f99d9a88124c99695770	1871	1397	1398	717	1415	464	3184	4921	1341
887bc7033b46d960e893caceb711700b	1271	2759	1557	890	807	333	1833	1727	651
5a06dd65319ceef8912e64650f68311c	4259	4200	6976	4195	2458	912	812	945	665
3fae445e19ee90ad248d81d35f3fe15d	3993	4283	6232	3522	2447	834	578	830	533
cac37e39df2461953f24398212940edf	851	1233	716	540	793	421	7580	13991	1613
d638e3ef375faff8775879dcd2919456	2846	2644	1418	750	1099	370	3304	3772	9253
40b37890b1b1fcdf0ece91f1da34c1ca	165	366	377	276	273	49	201	121	359
aaf363d33b413559f355276afbb79f37	1651	1345	2050	1242	1394	481	4779	5042	4640
f9b4ae1423c10acd61e0d3e2040839fb	2515	3016	3586	2342	1427	523	545	689	2474
7ff490fff9504446139943d9c4f1be4a	1441	3043	1714	1087	942	450	4506	5364	2405
5d12a2cd51bf17060f60270529c5722e	465	635	424	178	322	120	1307	1581	1489
ae71bf7c99d3583a2d8841e5911c5716	774	1353	1191	616	507	218	429	504	330
958217acb12f4762850038e2fac24002	44	24	0	13	0	0	40	281	38180
08c70e0579f60758e349538915f97ba9	6131	14097	9552	1858	1098	395	494	388	88
2fa025903b750491a53d458102721550	1354	1679	1796	884	1283	503	7131	8157	3558
bbea1c2524ae3e439171ae0e1b400d6f	1392	1836	1989	1194	762	225	323	444	282
641dd3fba38499ee67aca9534db03ecc	386	743	401	236	242	77	522	387	147
b15dce65a0a29efb0bcfadedd72ede3c	1447	2573	2255	1220	948	273	621	728	395
d5149eea84bcffa22b8a92873f74c427	1551	3450	2282	1276	1084	310	597	499	508
0848850df0494161713f756cb4fd2f8c	473	2316	826	760	730	206	859	930	12438
47586546b6ddb8bf993337f5353d60c3	1845	1441	2214	1221	894	283	268	319	243
410342bf1916fcb64bb4f62fa0b3cc44	251	259	418	381	231	240	1047	13327	79
5c3884792ab6f36ba913e5970bf79c21	717	2600	1221	893	773	259	1054	1194	8577
29f4ad6225de48b3d295e911657ccd5f	908	238	461	159	117	47	91	66	56
c1d8f746065975c3dc82d29b9eee6f45	1173	2301	1955	1113	910	305	248	387	308
1cd54360e0bd92956f4a3fa2dc65fc9c	955	11287	1313	1611	1454	193	253	165	0
4d6ccaf13d1f3d17cebf70dafbea3f6f	1283	702	1491	653	1018	339	1247	1429	371
133a0ee03335fd4bf9aeedffe36285d7	1072	962	1888	1022	737	243	182	219	126
95efad17b5fb6b91274a6ef3c47a098a	270	293	265	181	128	46	123	185	296
55225fc0c942fe8e24052fbea337781d	385	460	504	270	416	119	2127	1551	651
c366064866eaed18a54d15640272ab34	208	295	248	163	132	49	194	355	517
d92eeff90aec306248a73713ac09b0eb	224	272	255	264	486	109	1915	139	93
88b5b5240649749ca876d10823045b01	164	357	183	98	93	32	299	299	388
d29554cd4df18489f985c44c68196025	91	146	109	19	13	0	15	8	7
48bc8b9e50d317ac60c05eb599c2d138	8	0	5	6	0	0	0	23	6334
268cc37731512506184bd0ff2d9935e2	1027	1654	1350	988	765	220	264	349	253
d7a78db14cbb0629842daa8b8f45be2c	664	1066	983	588	443	191	423	690	454
7b45704f273aa8e7fb5d387d16387c52	1016	1021	1395	816	493	189	167	192	89
6b22324ce081c63a4735fce68efc1d5b	100	116	186	134	120	101	561	5194	19
55060bfb51dc35530beac964e48e44bd	1201	586	1156	386	297	104	207	155	82
11dd1eda320849735016de59c0d867a3	292	748	289	194	217	75	303	313	175
cb8818c331eb97f13778cef034bb3af0	294	183	436	290	199	108	240	570	146
09549107f07aade8fd65aca304b83aaf	420	924	621	199	150	27	71	38	27
e79c92b636c621370d719dad75b4167f	947	843	1441	795	532	158	174	191	132
7b49f688468b019dcbbdc40d46c7c62e	0	0	0	0	0	0	0	0	44
ebbb68c5851d90e8694b00eb4c04bfd2	288	768	490	272	268	84	375	463	389
bdd806d59896bba05581ed685c6adb1f	411	970	544	307	277	82	237	218	148
bc690a15d43fecef71adaaf8a9c1ade4	0	0	0	0	0	0	9	10	27
dfd1b5c66dad4fd25f69ad8cffcb34fd	142	112	166	78	130	40	477	355	324
6871d93ddc673c48245efc378cac2c7d	268	181	195	123	150	72	447	627	368
6cec4c6f91655e43daa7476c4d74777c	118	160	34	24	58	18	158	235	270
bd1c40ad25bb036c6991fcf69e84f285	119	167	111	95	175	53	507	66	33
472b83fa39640e485f05a1724a6e8791	828	2445	1136	347	324	62	76	57	34
d95aa89e81a349a92f307995a1561bd9	130	347	168	131	102	31	221	290	338
9be1e7976b23393a66cc2e9672ecc6c8	0	0	0	0	0	7	7	15	0
d7d1974ccad74a4247379429aebc573d	842	1442	1358	683	631	135	905	685	1322
fb61b13aa3d84dc0c9d637a88e349f5f	60	73	83	72	210	134	614	543	259
25575759206928e94ba1afdad798a30a	136	167	119	39	26	3	12	7	2
e8017986d897be329f1fd99081b549a4	75	64	38	16	20	0	9	19	148
fa45c880cabbeb9cc516c65edb6a81af	152	261	124	55	99	41	579	785	396
487ba8cfd965330e87fdcc6201fa83e8	1248	3890	2474	557	611	126	157	100	46
d3a2fb3b65e96a6017a70182466040d8	182	316	197	73	104	35	335	463	524
80e66636abd92820d781af2c6506853d	0	0	0	0	7	0	2	2	5
3451a03945f809e8f5d5a86e2d914717	136	200	128	50	95	26	208	212	213
e0fc303ef2e935cf8369932c4ae0c04f	82	300	164	128	116	54	248	611	3070
00db6fe233142d21d2f6c056132b95ed	378	504	239	60	32	9	14	11	0
8affb26753a94517d38ba046b977f743	773	1234	1042	549	424	145	125	194	130
0872ee96003e931447bfbda18e048d00	135	246	242	157	99	42	217	338	427
75ace96b10c2ea95a7debec153c153d1	213	108	86	37	38	22	92	106	135
711eaab1559ad890185938b75c0b0834	703	552	798	455	339	113	79	117	79
85cadea11f338b486db347a7b61a3b3c	623	829	1158	526	711	166	367	240	109
245ece6db0de9809ac932a39a7d24b89	106	93	122	109	214	108	2036	2384	1020
e3c92b41e431613c5c5f23af4ba8b65f	175	165	169	98	189	107	1788	2745	2000
96ff11f3fbe3bfe47f11753d3615eff9	128	107	117	39	16	15	14	23	104
0aa4663de19d33cbaec31569d47cf191	115	87	120	61	143	69	1212	1292	436
991bc6d4ab77135e2bbd1a39fd879b28	136	0	226	0	218	95	375	69	116
d29da74c2ec6fb9901850789f2274851	0	3	11	0	0	0	0	10	58
e06ee31cde1d1d8a8f5b1048e410dea6	588	609	852	589	304	142	110	119	76
bbc9a06cac7574470bb321bd11576906	414	488	605	380	330	99	251	265	120
1424204d0b3becbb64ef0b61abb46473	133	144	165	79	69	20	63	74	172
98ed8548f3c6236a5f5844511dbd3b3c	105	84	179	83	194	0	297	63	137
1e95a94fa8c2087c3f26f7bbf5bf9dea	30	33	28	14	16	0	11	2	92
c29646ad6054f20d731c88686cb0c26e	397	897	598	405	263	119	178	216	278
f1280f526465b3d18a7bd86d7de21e2d	476	627	814	387	274	95	103	142	55
ead1c64680921c8ed395d0ecfd96a6d3	102	488	180	152	194	0	232	255	3347
cb7f12b75d7367a43d37ce6165f1d66b	486	312	630	399	253	116	91	123	76
c3971cca6919c2fb83c57d57efd31904	475	386	300	218	267	72	414	421	374
380d81417892576cb8aa4c50e92e5e1d	142	122	71	39	39	27	125	463	1913
4f1cf0253c18bea5172c557e02c4007c	117	140	69	52	41	12	127	502	2990
441c99152a2cc465de84d9c21414cd98	17	94	0	0	16	0	37	77	81
