ASV_ID	P15060_3052	P15060_3053	P15060_3054	P15060_3055	P15060_3056	P15060_3057	P15060_3058	P15060_3059	P15060_3060
147ccff6cdc7add7c5679b9929cafb1c	21812	15321	14362	23915	13498	13598	29985	15800	16481
0b58479f5429ce9f8a605e3e5d81faba	2224	7147	2248	1754	4976	12077	5751	10466	5943
887bc7033b46d960e893caceb711700b	6194	11478	6198	5253	9051	4241	1499	3899	1379
1b2c41577c16f4c672a2a861e6b89b14	5466	11873	5216	4480	9117	6203	2339	6105	2032
ae71bf7c99d3583a2d8841e5911c5716	2934	6211	2972	2134	4384	5494	3684	4691	1885
641dd3fba38499ee67aca9534db03ecc	3294	5474	3670	2878	5108	2363	819	2453	804
88b5b5240649749ca876d10823045b01	4553	5335	4919	3460	5040	1337	777	1323	896
4efca1c1efaae85b53628aad8ca4ca98	1425	3205	1462	1062	3036	2545	1856	3276	708
64d2417a9f5a1de0d43139368cf83470	28	337	124	28	347	9312	685	6149	160
8c70168c4c9a43c7d2713c963876bb24	0	0	0	0	10	7979	23	7858	0
d5149eea84bcffa22b8a92873f74c427	955	1833	724	785	1349	3171	2482	2885	868
cc87cf7731ae4eb54c4d6a8169d4598e	2158	3836	2018	1539	2815	1640	573	1229	566
567285eb6cb39a7da269ed742662acb0	874	1478	1102	661	1363	3133	2027	3120	2014
11fb58f63f6791374c2f452e7ba8842f	164	255	260	185	212	1909	7045	2282	1185
38e0c8ee88faf668197a703a356460ac	524	905	682	364	716	3982	1274	3211	2941
e4b58bc9103f05eef5d404d5fd85f542	287	523	137	166	194	4871	2648	4870	590
1548937acda05460eb1ff301442e418e	5	133	13	0	137	2974	3866	1880	278
5c74eea4cbdf15e7b512de16dae0930e	110	3106	97	80	1722	5572	921	4860	0
3451a03945f809e8f5d5a86e2d914717	828	1625	870	736	1233	2276	862	2176	1347
73ec397d035244c7734fc7513050637d	1136	2444	1732	1421	2044	1025	325	1100	283
d88992af0f395135f2749cf35e4cd28f	63	614	96	44	600	6458	275	6269	52
30dfa86fda509f2d7c96546998b65933	48	113	49	24	107	3188	4015	2587	494
