ASV_ID	P16609_1001	P16609_1002	P16609_1003	P16609_1004	P16609_1005	P16609_1006	P16609_1007	P16609_1008	P16609_1009
796c8a3e824646f2f70d634177f2589d	91	149	90	77	174	83	62	157	112
30dfa86fda509f2d7c96546998b65933	16	0	0	9	25	0	11	122	28
79cf86d98c76bbbf986bd106938c6817	242	405	380	198	412	245	72	129	233
272f79649c2702bec9ff272552ffffcf	398	510	523	322	679	344	46	94	79
64d2417a9f5a1de0d43139368cf83470	28	57	136	89	309	94	41	35	286
d95aa89e81a349a92f307995a1561bd9	149	283	273	163	328	151	97	299	161
5250ccde90af872a9db544ed21b5b8fe	0	0	0	53	0	0	59	330	117
e795c18a7a9d8a44c319d3141bad3bbe	18	23	28	0	25	12	0	0	0
41a2a6cfa321ba7282f000a2790d862e	64	98	80	47	116	58	24	48	60
4730fed25c42f2855d9185ab2a5a03dd	44	44	37	35	60	16	30	65	82
f07843122c9b6eabd153126d30d4cd8e	0	10	6	0	13	0	17	10	25
d3b522dc7afc50f87472ade6a86a0bb3	124	191	167	100	238	90	16	64	25
96acf2340c6d1dfb87344ddd9bcc9318	0	0	0	0	0	0	0	0	0
04b1f951e0b1346a6d3988fe86632009	98	108	78	0	116	0	0	54	92
dd5546cfa24982c667a9f2b31d254076	77	173	162	59	176	120	0	11	6
1fd401add2f3ae8aeee0694e41bf358e	120	220	171	113	249	126	108	267	191
da139741f82c525c6437328071eb0d33	34	66	50	23	59	30	26	0	70
b15dce65a0a29efb0bcfadedd72ede3c	115	191	181	116	200	111	101	301	223
88a86b62af4406fd5887d48cf791a11a	177	260	265	153	440	181	18	142	63
cce7af3792758bd9a8cc4a0e2e60fe37	121	241	205	111	232	121	27	67	72
55060bfb51dc35530beac964e48e44bd	210	404	346	164	365	163	52	154	150
0848850df0494161713f756cb4fd2f8c	10	13	13	0	9	0	0	0	0
7a9bd3409facfcd4a26b59b50da07dae	8	3	21	137	820	97	0	0	0
eb779ec3ecd6ac216ff4fbcdd1257318	63	132	136	86	135	65	0	0	0
93185103563e99d5dbd1111548078ed7	247	456	345	159	395	195	119	275	231
0aa4663de19d33cbaec31569d47cf191	111	170	158	77	170	110	84	193	250
6054e875b0a4e2dd9e1e5a3014777405	37	70	59	37	79	25	3	31	13
55225fc0c942fe8e24052fbea337781d	213	240	235	121	186	101	35	66	65
96ff11f3fbe3bfe47f11753d3615eff9	24	47	39	15	48	23	0	0	6
8c9e84ebc3ac5255bfcdafbdc699ea2c	0	0	0	0	0	0	0	0	0
8affb26753a94517d38ba046b977f743	153	220	169	117	306	121	49	149	111
0e8e240a922d6c85d818bd823fed4751	138	476	13	147	2346	292	13	15	24
76406076def630da08eedf0e0ee2ace0	14	21	24	0	27	15	44	55	77
5d9ef0971dd60970eba775ae6c29edde	67	111	99	53	103	66	80	73	181
6f7a26be4c9bf552618ad72387499d0f	92	156	111	72	159	100	28	87	88
5d12a2cd51bf17060f60270529c5722e	132	287	248	116	176	122	0	32	33
bfbb41fc686730dd0f3e13df27759598	51	84	55	34	95	56	54	49	111
f9b4ae1423c10acd61e0d3e2040839fb	0	14	15	0	0	0	0	0	0
228739acf3fea4c912637cc0b3a7820b	27	36	42	28	35	26	59	53	210
9c39ff68e37a46283eaa7fdd1f90ead9	69	82	96	42	129	58	0	43	0
fb038dfce3834c352b6d689c04232765	0	2	4	0	6	0	0	0	0
a7e194b4ea4b1df360fce3d3770d58ee	147	226	173	122	214	119	74	188	154
6a319c76a938af60fe6723d634cdc91e	200	285	255	152	344	176	28	77	55
be5df2d76935491020fc3a965f636fd7	83	120	116	78	116	83	53	124	101
736b0de0f4dd2e3783395629c201643a	66	81	82	48	101	51	23	61	63
20179da53a1b677468f7a20cdfa5f837	126	156	175	83	123	142	39	131	75
c3971cca6919c2fb83c57d57efd31904	0	0	6	0	0	0	0	0	0
6cec4c6f91655e43daa7476c4d74777c	127	223	187	106	246	164	62	166	138
c1b702dc580f5d9fa61a5a5b74232dc4	0	0	0	0	0	0	0	0	0
d7d1974ccad74a4247379429aebc573d	0	0	0	0	0	0	0	0	0
8602f83a3d64d5fd31c61de44e7fedc7	126	147	178	70	88	88	32	71	73
11dd1eda320849735016de59c0d867a3	93	196	167	110	212	111	81	170	137
08c70e0579f60758e349538915f97ba9	0	0	0	0	0	0	0	0	0
a2d13ea597e8b2065ff25b0538c1e620	0	0	0	0	0	0	0	0	0
b28f2425a5c55cfc5206a15c3200d905	0	6	0	0	12	6	0	4	7
14441dadd025432e60e806413e1201ae	10	0	11	0	13	17	28	44	77
dd69e0b17da6f99d9a88124c99695770	32	32	58	26	29	25	0	0	0
d75bb336ff439f373cf3e086e19dfba1	0	0	0	0	0	0	0	0	0
245ece6db0de9809ac932a39a7d24b89	0	0	0	0	0	0	0	0	0
056dc5fe93bdd7dccd2c4e378d52055a	0	52	46	0	52	0	0	0	0
0b0cac0562128da174ec240181e9962c	0	0	0	0	0	0	0	0	0
0e39d997dcdab3552fa88625888c6b18	0	0	0	0	0	0	0	0	0
1ebe0fe3e69df47142a0e4bf8041126f	0	0	0	0	0	0	0	0	0
e0fc303ef2e935cf8369932c4ae0c04f	0	0	14	0	10	0	0	0	0
14bcd5059f365040b6a1fbc9ef36291a	45	74	63	38	92	43	16	11	39
3170f6094605a579e6a0e1fefd33a2a5	74	95	62	35	83	50	15	27	32
15ebc11a363ebd4353c26c7310d4caba	77	164	121	77	177	92	39	198	108
bbd6d8e7f58dcadee5e87b19bd9329d8	0	0	0	0	0	0	0	0	0
00a01678e6e0adcd789980f8e123dfc5	27	49	56	22	65	45	11	10	42
f7600dd883bbcd817ee6cc47d0f7ee56	18	14	28	28	23	19	37	52	92
22b67f3389db779aa1621854d4ced64c	82	164	181	78	149	127	0	5	0
380d81417892576cb8aa4c50e92e5e1d	89	180	184	82	171	137	32	93	90
2852304d3fe23aac73c6976d56bdf3f7	0	0	0	0	0	0	0	0	0
60c5874530fb102c40f246e7b59cad1b	0	0	0	0	0	0	0	0	0
5e0aec2460fc33726452f6e155e067c6	0	0	0	0	0	0	0	0	0
e273a003e716f0fb804139f280975c7a	0	42	0	0	47	0	46	129	97
99d50e0cd2405dd20e8a463874db4716	0	11	12	164	57	0	12	159	28
28b979d0ac9a5bc2f8e6cf47854058ed	0	0	0	0	0	0	0	0	0
fc6b3e0b0dbcaff11b0b170b7c392272	0	0	0	0	0	0	0	0	0
b2ae0794a6d4f8f70b5fe996fe9212d3	13	20	14	33	37	21	42	203	46
ac4107604c179f2f8414333885255725	174	53	164	37	89	44	0	0	0
83073fd45fe992e623cba8ef4b275cfd	101	161	128	53	68	94	9	41	62
31a23fbfacae7d3241e095c7888f8134	11	16	21	11	11	0	13	21	13
487ba8cfd965330e87fdcc6201fa83e8	0	0	0	0	0	0	0	0	0
d34793dfd082a428ca6fbe60c6d405ce	164	179	186	123	281	157	19	47	39
63003fc2bf33e0a1679d94ddd16c690d	104	132	123	68	72	60	19	16	81
53b1412eb0af79c6415b4e34ada2104f	75	177	128	82	184	86	79	220	147
3e725a26a7e18f9639d6ff93182fb80c	0	20	16	0	23	16	14	36	68
2f6c9c6f7227565ee47eec9b20df79f4	83	175	139	62	85	56	31	63	62
7609f46a9236c60fb663d331c585060b	76	46	68	23	56	39	0	11	13
919a2aa9d306e4cf3fa9ca02a2aa5730	90	150	109	97	159	77	21	43	30
2dcacb6f6dffd0c6eb9a675853198b6c	75	91	99	57	103	53	31	96	82
ec82a6bab536946843fc868044a48672	0	0	0	0	0	0	0	15	0
458a614d9f091f772f92f51236d1105a	8	19	12	7	19	16	18	26	58
1dee4e38195fdb6d7587b0c875bbb79e	187	233	157	86	194	110	20	11	51
f1280f526465b3d18a7bd86d7de21e2d	31	56	44	28	49	21	44	159	100
a16bdeb34866797772737af0b66978bc	140	137	135	80	148	111	20	76	60
1dc6d60a929782e2bb2f4e6e5b6cc01f	103	171	159	104	192	120	41	67	83
6b22324ce081c63a4735fce68efc1d5b	174	209	208	98	201	122	0	23	21
9b9c155cf71c1199d55daefe97ac15da	0	0	0	0	0	0	0	0	0
327d4ac056e167a247568846c19fa9ab	36	67	48	26	79	38	36	78	119
ad33401bf67e7a20e5c320b590cf2443	59	113	93	78	124	86	31	119	66
bedafc6f2fb2f7ef54042d1712f681f5	64	105	106	59	96	59	39	153	104
95efad17b5fb6b91274a6ef3c47a098a	0	0	113	0	0	0	0	0	0
824f6d4e4b4cc5cad11f41d33fdecc7e	0	0	0	0	0	0	0	0	0
5a35f1b0154cd43b25c9ce4a0587b48c	0	0	0	0	0	0	0	0	0
d92eeff90aec306248a73713ac09b0eb	73	74	71	0	45	47	0	0	0
f3da686b91e5382ae282fe79f9bb24b6	0	0	0	0	14	0	0	0	0
9783b38fbf34ecdb77b7138f60409090	0	0	53	0	0	0	0	0	26
f148c9872201cbd90a403cf63b13e46c	0	0	0	0	0	0	0	0	0
f592de0ded7dc00040ea29cda49945a3	0	0	0	0	0	0	0	0	0
7a6b07bfb83637d1924d5815723620cc	0	0	0	0	0	0	0	0	0
6a1eb7bc8970f3acb54a6a3dd1cfddfa	112	125	133	75	150	117	16	59	50
49a7ef6ca25a467da679e31997bf9373	0	17	17	13	19	0	0	0	16
dc006968e6259a29c8371959892c8ea4	125	139	130	65	222	91	0	29	21
0d637dcf068afa91e4b02152c8113f3d	59	135	83	62	109	67	25	77	102
ead1c64680921c8ed395d0ecfd96a6d3	0	0	0	0	0	0	0	0	0
8f3c8cb8544640becafb5777eb7a5858	0	0	0	0	0	0	0	0	0
a9a366c63a209df0aa5d56031c1dbd26	54	131	95	44	141	76	34	162	85
2da48aaaeeca529f359b43b1769dd40f	69	123	108	80	117	89	0	0	0
e4b3d9482cb5f4c7d4ec0188c0b7610b	54	78	0	0	58	0	0	55	58
cb62de235058e36f0352fff4e488d81f	0	0	0	0	0	0	0	0	0
1e95a94fa8c2087c3f26f7bbf5bf9dea	96	105	104	68	93	64	7	29	22
2e5b4d126566e233cce89647bef711b4	259	117	95	174	74	194	0	21	51
7e518f6e8260462730bbc5bac23f61a9	68	132	105	60	112	73	96	64	250
24d2713f3c816d44d90eebd913d879d1	62	122	112	60	125	73	25	65	97
f41db34cba53df323bb0a10bbc00a20c	67	85	101	63	115	60	51	212	129
b8f5a3365855e785da3f07cd4bc8ff48	0	0	0	16	0	0	0	0	45
e83540ca948ad293a1c7a5c54c883db4	0	0	2	0	0	0	0	0	0
cf2d0c505ee3142d3f861ed3bb3ed802	0	0	0	0	0	0	0	0	0
9ab7c99e549d7ae99db82bb79042bcc7	0	0	0	0	0	0	0	0	0
8bd7d6235d8d5d7462aade30c9df6ca1	0	242	0	96	369	0	0	0	8
fdf79b2352da82f67612a0d3fa98c598	60	114	108	66	119	61	13	51	43
c7ba2aae94cbe0284443a7c62f35dad0	86	139	208	77	583	107	0	0	0
